# Action spectra of TEMIS UV v2.0 data products
# ---------------------------------------------
#
# Implemented in TEMIS UV v2.0 processing:
#   Erythemal  = CIE-98, cf. Webb, A.R. et al. (2011)
#   Vitamin-D  = CIE-174, cf. Bouillon, R. et al. (2006)
#   DNA-damage = Setlow, R.B. (1974)
#                Bernhard, G. and Seckmeyer, G. (1997)
#
# For more information, see
# http://www.temis.nl/uvradiation/product/action.html
#
#
# Action spectrum data at 0.1 nm interval, produced from
# the implementation by Marc Allaart (KNMI, April 2017).
#
#
#
,wavelength,Erythemal,DNA-damage,Vitamin-D
0,250.0,1.0,30.1187,0.03
1,250.1,1.0,30.1129,0.0303
2,250.2,1.0,30.1069,0.0306
3,250.3,1.0,30.1009,0.0309
4,250.4,1.0,30.0948,0.0312
5,250.5,1.0,30.0886,0.0315
6,250.6,1.0,30.0823,0.0318
7,250.7,1.0,30.0761,0.0321
8,250.8,1.0,30.0697,0.0324
9,250.9,1.0,30.0633,0.0327
10,251.0,1.0,30.0567,0.033
11,251.1,1.0,30.0501,0.0333
12,251.2,1.0,30.0435,0.0336
13,251.3,1.0,30.0367,0.0339
14,251.4,1.0,30.03,0.0342
15,251.5,1.0,30.0231,0.0345
16,251.6,1.0,30.0161,0.0348
17,251.7,1.0,30.0091,0.0351
18,251.8,1.0,30.002,0.0354
19,251.9,1.0,29.9948,0.0357
20,252.0,1.0,29.9876,0.036
21,252.1,1.0,29.9803,0.0363
22,252.2,1.0,29.9728,0.0366
23,252.3,1.0,29.9654,0.0369
24,252.4,1.0,29.9578,0.0372
25,252.5,1.0,29.9501,0.0375
26,252.6,1.0,29.9424,0.0378
27,252.7,1.0,29.9345,0.0381
28,252.8,1.0,29.9266,0.0384
29,252.9,1.0,29.9187,0.0387
30,253.0,1.0,29.9106,0.039
31,253.1,1.0,29.9024,0.0394
32,253.2,1.0,29.8941,0.0398
33,253.3,1.0,29.8858,0.0402
34,253.4,1.0,29.8773,0.0406
35,253.5,1.0,29.8688,0.041
36,253.6,1.0,29.8602,0.0414
37,253.7,1.0,29.8515,0.0418
38,253.8,1.0,29.8426,0.0422
39,253.9,1.0,29.8337,0.0426
40,254.0,1.0,29.8247,0.043
41,254.1,1.0,29.8156,0.0434
42,254.2,1.0,29.8064,0.0438
43,254.3,1.0,29.7971,0.0442
44,254.4,1.0,29.7877,0.0446
45,254.5,1.0,29.7782,0.045
46,254.6,1.0,29.7686,0.0454
47,254.7,1.0,29.7589,0.0458
48,254.8,1.0,29.7491,0.0462
49,254.9,1.0,29.7392,0.0466
50,255.0,1.0,29.7291,0.047
51,255.1,1.0,29.719,0.0474
52,255.2,1.0,29.7087,0.0478
53,255.3,1.0,29.6984,0.0482
54,255.4,1.0,29.6879,0.0486
55,255.5,1.0,29.6773,0.049
56,255.6,1.0,29.6667,0.0494
57,255.7,1.0,29.6558,0.0498
58,255.8,1.0,29.6449,0.0502
59,255.9,1.0,29.6339,0.0506
60,256.0,1.0,29.6227,0.051
61,256.1,1.0,29.6114,0.0515
62,256.2,1.0,29.6,0.0520001
63,256.3,1.0,29.5885,0.0525001
64,256.4,1.0,29.5769,0.053
65,256.5,1.0,29.5651,0.0535
66,256.6,1.0,29.5532,0.054
67,256.7,1.0,29.5412,0.0545001
68,256.8,1.0,29.529,0.0550001
69,256.9,1.0,29.5168,0.0555
70,257.0,1.0,29.5043,0.056
71,257.1,1.0,29.4918,0.0565
72,257.2,1.0,29.4791,0.0570001
73,257.3,1.0,29.4663,0.0575001
74,257.4,1.0,29.4533,0.058
75,257.5,1.0,29.4403,0.0585
76,257.6,1.0,29.427,0.059
77,257.7,1.0,29.4137,0.0595001
78,257.8,1.0,29.4001,0.0600001
79,257.9,1.0,29.3865,0.0605
80,258.0,1.0,29.3726,0.061
81,258.1,1.0,29.3587,0.0615
82,258.2,1.0,29.3446,0.0620001
83,258.3,1.0,29.3304,0.0625001
84,258.4,1.0,29.316,0.063
85,258.5,1.0,29.3014,0.0635
86,258.6,1.0,29.2867,0.064
87,258.7,1.0,29.2718,0.0645001
88,258.8,1.0,29.2568,0.0650001
89,258.9,1.0,29.2417,0.0655
90,259.0,1.0,29.2263,0.066
91,259.1,1.0,29.2108,0.0669001
92,259.2,1.0,29.1952,0.0678001
93,259.3,1.0,29.1793,0.0687002
94,259.4,1.0,29.1634,0.0695999
95,259.5,1.0,29.1472,0.0705
96,259.6,1.0,29.1308,0.0714001
97,259.7,1.0,29.1143,0.0723001
98,259.8,1.0,29.0977,0.0732002
99,259.9,1.0,29.0808,0.0741
100,260.0,1.0,29.0638,0.075
101,260.1,1.0,29.0465,0.0759001
102,260.2,1.0,29.0292,0.0768001
103,260.3,1.0,29.0116,0.0777002
104,260.4,1.0,28.9939,0.0785999
105,260.5,1.0,28.9759,0.0795
106,260.6,1.0,28.9578,0.0804
107,260.7,1.0,28.9394,0.0813001
108,260.8,1.0,28.9209,0.0822002
109,260.9,1.0,28.9022,0.0830999
110,261.0,1.0,28.8833,0.084
111,261.1,1.0,28.8642,0.0849001
112,261.2,1.0,28.845,0.0858001
113,261.3,1.0,28.8254,0.0867002
114,261.4,1.0,28.8057,0.0875999
115,261.5,1.0,28.7858,0.0885
116,261.6,1.0,28.7657,0.0894001
117,261.7,1.0,28.7454,0.0903001
118,261.8,1.0,28.7249,0.0912002
119,261.9,1.0,28.7042,0.0920999
120,262.0,1.0,28.6832,0.093
121,262.1,1.0,28.6621,0.0939001
122,262.2,1.0,28.6406,0.0948001
123,262.3,1.0,28.619,0.0957002
124,262.4,1.0,28.5972,0.0965999
125,262.5,1.0,28.5752,0.0975
126,262.6,1.0,28.5529,0.0984001
127,262.7,1.0,28.5304,0.0993001
128,262.8,1.0,28.5076,0.1002
129,262.9,1.0,28.4847,0.1011
130,263.0,1.0,28.4615,0.102
131,263.1,1.0,28.438,0.103
132,263.2,1.0,28.4143,0.104
133,263.3,1.0,28.3904,0.105
134,263.4,1.0,28.3662,0.106
135,263.5,1.0,28.3418,0.107
136,263.6,1.0,28.3172,0.108
137,263.7,1.0,28.2922,0.109
138,263.8,1.0,28.267,0.11
139,263.9,1.0,28.2416,0.111
140,264.0,1.0,28.2159,0.112
141,264.1,1.0,28.19,0.113
142,264.2,1.0,28.1638,0.114
143,264.3,1.0,28.1373,0.115
144,264.4,1.0,28.1106,0.116
145,264.5,1.0,28.0836,0.117
146,264.6,1.0,28.0563,0.118
147,264.7,1.0,28.0288,0.119
148,264.8,1.0,28.0009,0.12
149,264.9,1.0,27.9728,0.121
150,265.0,1.0,27.9445,0.122
151,265.1,1.0,27.9158,0.1231
152,265.2,1.0,27.8868,0.1242
153,265.3,1.0,27.8576,0.1253
154,265.4,1.0,27.828,0.1264
155,265.5,1.0,27.7982,0.1275
156,265.6,1.0,27.7681,0.1286
157,265.7,1.0,27.7376,0.1297
158,265.8,1.0,27.7069,0.1308
159,265.9,1.0,27.6759,0.1319
160,266.0,1.0,27.6446,0.133
161,266.1,1.0,27.6129,0.1343
162,266.2,1.0,27.581,0.1356
163,266.3,1.0,27.5487,0.1369
164,266.4,1.0,27.5161,0.1382
165,266.5,1.0,27.4832,0.1395
166,266.6,1.0,27.45,0.1408
167,266.7,1.0,27.4165,0.1421
168,266.8,1.0,27.3826,0.1434
169,266.9,1.0,27.3484,0.1447
170,267.0,1.0,27.3138,0.146
171,267.1,1.0,27.2789,0.1474
172,267.2,1.0,27.2437,0.1488
173,267.3,1.0,27.2082,0.1502
174,267.4,1.0,27.1723,0.1516
175,267.5,1.0,27.1361,0.153
176,267.6,1.0,27.0994,0.1544
177,267.7,1.0,27.0625,0.1558
178,267.8,1.0,27.0252,0.1572
179,267.9,1.0,26.9876,0.1586
180,268.0,1.0,26.9496,0.16
181,268.1,1.0,26.9112,0.1617
