wavelength,absorption,publication,medium,attenuation,scattering,attenuation_error,absorption_error,measurement
412.0,0.0168,KM3Net06,sea water,0.0359,,0.0025,0.0006,KM3 1st 2019-12
412.0,0.0137,KM3Net06,sea water,0.0336,,0.0022,0.0004,KM3 2nd 2019-12
412.0,0.0143,KM3Net06,sea water,0.0309,,0.0017,0.0006,KM4 1st 2019-12
412.0,0.0149,KM3Net06,sea water,0.0343,,0.0026,0.0008,KM4 2nd 2019-12
412.0,0.0145,KM3Net06,sea water,0.0319,,0.0028,0.0008,KM4 1999-12
412.0,0.0151,KM3Net06,sea water,0.0331,,0.0025,0.0014,KM4 2002-03
412.0,0.0187,KM3Net06,sea water,0.0351,,0.0033,0.0014,KM4 2002-05
412.0,0.0205,KM3Net06,sea water,0.0327,,0.0024,0.0008,KM4 2002-08
412.0,0.0127,KM3Net06,sea water,0.0334,,0.0039,0.0017,KM4 2003-07
440.0,0.0177,KM3Net06,sea water,0.0335,,0.0024,0.0005,KM3 1st 2019-12
440.0,0.0156,KM3Net06,sea water,0.0312,,0.0022,0.0005,KM3 2nd 2019-12
440.0,0.0159,KM3Net06,sea water,0.0284,,0.0016,0.0005,KM4 1st 2019-12
440.0,0.0172,KM3Net06,sea water,0.0292,,0.0025,0.0007,KM4 2nd 2019-12
440.0,0.0164,KM3Net06,sea water,0.0287,,0.0021,0.0009,KM4 1999-12
440.0,0.0166,KM3Net06,sea water,0.0302,,0.0024,0.0011,KM4 2002-03
440.0,0.016,KM3Net06,sea water,0.0281,,0.0029,0.0016,KM4 2002-05
440.0,0.0148,KM3Net06,sea water,0.0283,,0.0023,0.0005,KM4 2002-08
440.0,0.0126,KM3Net06,sea water,0.0288,,0.0034,0.001,KM4 2003-07
488.0,0.0217,KM3Net06,sea water,0.0368,,0.0024,0.0004,KM3 1st 2019-12
488.0,0.0209,KM3Net06,sea water,0.0341,,0.0021,0.0004,KM3 2nd 2019-12
488.0,0.0208,KM3Net06,sea water,0.0309,,0.0015,0.0004,KM4 1st 2019-12
488.0,0.0213,KM3Net06,sea water,0.0329,,0.0023,0.0005,KM4 2nd 2019-12
488.0,0.021,KM3Net06,sea water,0.0315,,0.0022,0.0005,KM4 1999-12
488.0,0.0212,KM3Net06,sea water,0.0329,,0.0027,0.0007,KM4 2002-03
488.0,0.0189,KM3Net06,sea water,,,,0.0013,KM4 2002-05
488.0,0.0181,KM3Net06,sea water,,,,0.0003,KM4 2002-08
488.0,0.0367,KM3Net06,sea water,,,,0.0008,KM4 2003-07
510.0,0.037,KM3Net06,sea water,0.0442,,0.0024,0.0004,KM3 1st 2019-12
510.0,0.0365,KM3Net06,sea water,0.0417,,0.002,0.0004,KM3 2nd 2019-12
510.0,0.0363,KM3Net06,sea water,0.0397,,0.0014,0.0003,KM4 1st 2019-12
510.0,0.0374,KM3Net06,sea water,0.0427,,0.0021,0.0005,KM4 2nd 2019-12
510.0,0.0366,KM3Net06,sea water,0.0406,,0.0024,0.0007,KM4 1999-12
510.0,0.0366,KM3Net06,sea water,0.0414,,0.0022,0.0007,KM4 2002-03
510.0,0.0377,KM3Net06,sea water,0.0436,,0.0027,0.0013,KM4 2002-05
510.0,0.0383,KM3Net06,sea water,0.045,,0.0027,0.0005,KM4 2002-08
510.0,,KM3Net06,sea water,0.0459,,0.0027,,KM4 2003-07
532.0,0.0532,KM3Net06,sea water,0.0546,,0.0024,0.0004,KM3 1st 2019-12
532.0,0.0527,KM3Net06,sea water,0.052,,0.002,0.0004,KM3 2nd 2019-12
532.0,0.0528,KM3Net06,sea water,0.0489,,0.0014,0.0003,KM4 1st 2019-12
532.0,0.0529,KM3Net06,sea water,0.0514,,0.002,0.0005,KM4 2nd 2019-12
532.0,0.0528,KM3Net06,sea water,0.0497,,0.0022,0.0004,KM4 1999-12
532.0,0.0529,KM3Net06,sea water,0.051,,0.0025,0.0006,KM4 2002-03
532.0,0.0517,KM3Net06,sea water,0.0577,,0.0016,0.001,KM4 2002-05
532.0,0.0502,KM3Net06,sea water,0.0584,,0.0024,0.0005,KM4 2002-08
532.0,0.0507,KM3Net06,sea water,0.0574,,0.0021,0.0006,KM4 2003-07
555.0,0.0682,KM3Net06,sea water,,,,0.0005,KM3 1st 2019-12
555.0,0.0683,KM3Net06,sea water,,,,0.0005,KM3 2nd 2019-12
555.0,0.0683,KM3Net06,sea water,,,,0.0004,KM4 1st 2019-12
555.0,0.0689,KM3Net06,sea water,,,,0.0006,KM4 2nd 2019-12
555.0,0.0685,KM3Net06,sea water,,,,0.0006,KM4 1999-12
555.0,0.0683,KM3Net06,sea water,,,,0.0007,KM4 2002-03
555.0,0.0675,KM3Net06,sea water,0.0808,,0.0029,0.0008,KM4 2002-05
555.0,0.0677,KM3Net06,sea water,0.0791,,0.0023,0.0005,KM4 2002-08
555.0,0.0673,KM3Net06,sea water,0.0761,,0.002,0.0005,KM4 2003-07
650.0,0.3557,KM3Net06,sea water,0.378,,0.0024,0.0003,KM3 1st 2019-12
650.0,0.356,KM3Net06,sea water,0.374,,0.002,0.0003,KM3 2nd 2019-12
650.0,0.3564,KM3Net06,sea water,0.3719,,0.0016,0.0003,KM4 1st 2019-12
650.0,0.3581,KM3Net06,sea water,0.3747,,0.0022,0.0003,KM4 2nd 2019-12
650.0,0.3572,KM3Net06,sea water,0.3729,,0.0024,0.0009,KM4 1999-12
650.0,0.3565,KM3Net06,sea water,0.3744,,0.0025,0.001,KM4 2002-03
650.0,0.361,KM3Net06,sea water,0.3851,,0.0032,0.0004,KM4 2002-05
650.0,0.3619,KM3Net06,sea water,0.3849,,0.0034,0.0004,KM4 2002-08
650.0,0.3619,KM3Net06,sea water,0.3797,,0.0015,0.0003,KM4 2003-07
676.0,,KM3Net06,sea water,0.4494,,0.0021,,KM3 1st 2019-12
676.0,,KM3Net06,sea water,0.4508,,0.0018,,KM3 2nd 2019-12
676.0,,KM3Net06,sea water,0.4489,,0.0011,,KM4 1st 2019-12
676.0,,KM3Net06,sea water,0.4503,,0.0018,,KM4 2nd 2019-12
676.0,,KM3Net06,sea water,0.4493,,0.0017,,KM4 1999-12
676.0,,KM3Net06,sea water,0.4502,,0.0015,,KM4 2002-03
676.0,,KM3Net06,sea water,0.4761,,0.0041,,KM4 2002-05
676.0,,KM3Net06,sea water,0.474,,0.0037,,KM4 2002-08
676.0,,KM3Net06,sea water,0.4684,,0.0022,,KM4 2003-07
715.0,1.0161,KM3Net06,sea water,1.0209,,0.002,0.0003,KM3 1st 2019-12
715.0,1.0165,KM3Net06,sea water,1.0193,,0.0018,0.0003,KM3 2nd 2019-12
715.0,1.0167,KM3Net06,sea water,1.0169,,0.0012,0.0003,KM4 1st 2019-12
715.0,1.0169,KM3Net06,sea water,1.019,,0.0018,0.0003,KM4 2nd 2019-12
715.0,1.0168,KM3Net06,sea water,1.0175,,0.0019,0.0003,KM4 1999-12
715.0,1.0117,KM3Net06,sea water,1.0469,,0.001,0.0014,KM4 2002-03
715.0,1.0458,KM3Net06,sea water,1.0645,,0.0032,0.0003,KM4 2002-05
715.0,1.0457,KM3Net06,sea water,1.0626,,0.003,0.0002,KM4 2002-08
715.0,1.0451,KM3Net06,sea water,1.0652,,0.0023,0.0003,KM4 2003-07
375.7,,KM3Net10,sea water,0.050761421319796954,,0.0007730165683217811,,N4.5D 4100m
375.7,,KM3Net10,sea water,0.04901960784313726,,0.0009611687812379855,,N4.5D 3400m
375.7,,KM3Net10,sea water,0.0574712643678161,,0.0009908838684106224,,CP2 3400m
375.7,,KM3Net10,sea water,0.04901960784313726,,0.0009611687812379855,,N4.5D 3000m
375.7,,KM3Net10,sea water,0.054945054945054944,,0.000905687718874532,,CP2 3000m
